id,name,price,original_price,discount_rate,quantity_sold,rating_average,category,platform,seller,url,da_kiem_tra_gia_ao
KAG_276882715,"Áo khoác blazer nam tay dài form rộng thiết kế 2 cúc sang trọng,thanh lịch",420000.0,420000.0,0.0,3,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-khoac-blazer-nam-tay-dai-form-rong-thiet-ke-2-cuc-sang-trong-thanh-lich-p276882715.html?spid=276882723,False
KAG_276832011,Quần Mặc Nhà Nam SKD02 Vải Kate Co Giãn Nhẹ,65000.0,65000.0,0.0,8,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-mac-nha-nam-skd02-vai-kate-co-gian-nhe-p276832011.html?spid=276832013,False
KAG_275878934,Áo chống nắng nam thun lạnh thoáng mát chống tia UV cao cấp UPF50,200000.0,200000.0,0.0,11,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-chong-nang-nam-cao-cap-thong-hoi-chong-nang-chong-tia-uv-chong-bam-bui-fmtht024-p275878934.html?spid=277944885,False
KAG_273597613,"Áo len Gile nam đẹp, áo len gilê nam LNA28",456000.0,456000.0,0.0,7,0.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-len-gile-nam-dep-ao-len-gile-nam-lna28-p273597613.html?spid=276346260,False
KAG_273395259,"Quần Đùi HUONGTAM  nam cao cấp(QDN). Chất liệu vải loại tốt: mềm mại, thoáng mát, không phai màu",47600.0,47600.0,0.0,56,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-dui-huongtam-nam-cao-cap-qdn-chat-lieu-vai-loai-tot-mem-mai-thoang-mat-khong-phai-mau-p273395259.html?spid=273395438,False
KAG_253379891,Hộp 100 móng tay úp liền mạch trong suốt bằng acrylic cho nữ,25000.0,25000.0,0.0,6,4.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/hop-100-mong-tay-up-lien-mach-trong-suot-bang-acrylic-cho-nu-p253379891.html?spid=253379895,False
KAG_248928122,Quần Âu Nam Công Sở Trung Niên Thương Hiệu Anton Dáng Suông Rộng Màu Đen Xếp Ly Mã QA404,328000.0,328000.0,0.0,10,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-au-nam-cong-so-trung-nien-thuong-hieu-anton-dang-suong-rong-mau-den-xep-ly-ma-qa404-p248928122.html?spid=248928126,False
KAG_248129588,Quần jogger nam nữ túi hộp JKN12345 cạp chun chất kaki dày dặn đứng dáng nổi bật phong cách thể thao full size,179000.0,179000.0,0.0,13,4.2,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-jogger-nam-nu-tron-cap-chun-chat-gio-mem-co-dan-vien-ly-dung-dang-noi-bat-phong-cach-the-thao-full-size-p248129588.html?spid=274853972,False
KAG_199752718,"Quần lót nam Boxer co giãn 4 chiều, lưng thun nhỏ, công nghệ thoáng khí - màu Xanh đen",50000.0,50000.0,0.0,144,4.7,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-lot-nam-boxer-co-gian-4-chieu-cong-nghe-thoang-khi-air-seven-mau-xanh-den-p199752718.html?spid=199752722,False
KAG_190129715,Áo sơ mi nam cổ tàu cổ trụ form rộng tay dài trẻ trung thanh lịch vải lụa mềm mịn mát ít nhăn- MRDT01,121000.0,220000.0,0.45,8,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-so-mi-nam-co-tau-co-tru-form-rong-tay-dai-tre-trung-thanh-lich-vai-lua-mem-min-mat-it-nhan-mrdt01-p190129715.html?spid=190129717,False
KAG_186133766,"Quần Short Kaki Nam US ARMY, Quần Túi Hộp Nam Phong Cách Lính Chất Liệu KaKi Cao Cấp, Kiểu Dáng Trẻ Trung Năng Động -HÀNG CHÍNH HÃNG",299000.0,598000.0,0.5,269,4.7,Thời trang nam,Kaggle,Tiki,https://tiki.vn/quan-short-kaki-nam-us-army-quan-tui-hop-nam-phong-cach-linh-chat-lieu-kaki-cao-cap-kieu-dang-tre-trung-nang-dong-hang-chinh-hang-p186133766.html?spid=186133780,False
KAG_177588270,Áo Thun Có Cổ Nhiều Màu Cho Nam Và Nữ,110000.0,110000.0,0.0,0,4.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-thun-co-co-nhieu-mau-cho-nam-va-nu-p177588270.html?spid=278867709,False
KAG_176251118,"Combo 2 Áo thun nam Cotton Compact Premium trẻ trung thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear",285000.0,499000.0,0.43,616,4.8,Thời trang nam,Kaggle,Tiki,https://tiki.vn/combo-2-ao-thun-nam-cotton-compact-premium-tre-trung-tham-hut-mo-hoi-co-gian-4-chieu-mrm-manlywear-p176251118.html?spid=251275657,False
KAG_173831458,Dây dầu màu trước sau độ xe máy dáng thể thao siêu bền đẹp lắp các loại xe,138000.0,138000.0,0.0,3,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/day-dau-mau-lap-nhu-zin-do-cac-loai-xe-may-cuc-dep-p173831458.html?spid=173831468,False
KAG_163716172,"Áo Sơ Mi Nam Xanh Tím Than Ngắn Tay Công Sở Trung Niên Anton Kẻ Caro Thoáng Mát, Thấm Hút Mồ Hôi - NT201",425000.0,425000.0,0.0,13,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-so-mi-nam-xanh-tim-than-ngan-tay-cong-so-trung-nien-anton-ke-caro-thoang-mat-tham-hut-mo-hoi-nt201-p163716172.html?spid=163716182,False
KAG_154917738,Áo ba lỗ nam chính hãng May 10,135000.0,135000.0,0.0,58,5.0,Thời trang nam,Kaggle,Tiki,https://tiki.vn/ao-ba-lo-nam-chinh-hang-may-10-p154917738.html?spid=154917796,False
