ma_san_pham,ten_san_pham,nganh_hang,shop,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,url,da_kiem_tra_gia_ao
139632023,Máy đọc sách Kobo Libra 2 - hàng nhập khẩu,Điện thoại (Cũ),Tiki,8290000,8290000,0.0,209,5.0,https://tiki.vn/may-doc-sach-kobo-libra-libra-colour-libra-2-hang-nhap-khau-p139632023.html?spid=275176272,True
94453667,Điện thoại VoIP Yealink SIP-T30,Điện thoại (Cũ),Tiki,1050000,1050000,0.0,0,0.0,https://tiki.vn/dien-thoai-voip-yealink-sip-t30-p94453667.html?spid=94453668,True
29440849,điện thoại  IP622C - hàng chính hãng,Điện thoại (Cũ),Tiki,1650000,1650000,0.0,0,0.0,https://tiki.vn/dien-thoai-ip622c-hang-chinh-hang-p29440849.html?spid=29440850,True
279576348,Điện thoại Xiaomi Redmi A7 (3GB/64GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,3890000,3890000,0.0,0,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-a7-3gb-64gb-hang-chinh-hang-p279576348.html?spid=279576352,True
279564458,Điện Thoại Xiaomi Redmi Note 15 Pro 5G 8GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,8629000,10490000,0.18,0,0.0,https://tiki.vn/dien-thoai-xiaomi-redmi-note-15-pro-5g-8gb-256gb-hang-chinh-hang-p279564458.html?spid=279564460,True
279564330,Điện Thoại Realme Note 80 4GB/64GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,3559000,3990000,0.11,0,0.0,https://tiki.vn/dien-thoai-realme-note-80-4gb-64gb-hang-chinh-hang-p279564330.html?spid=279564332,True
279551576,"Điện thoại Samsung Galaxy A27 5G (6GB + 128GB) | Màn hình 6.7"" FHD+ | Pin 5000mAh | Snapdragon 6 Gen 3 - Hàng chính hãng",Điện thoại (Cũ),Tiki,7490000,7990000,0.06,30,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a27-5g-6gb-128gb-man-hinh-6-7-fhd-pin-5000mah-snapdragon-6-gen-3-hang-chinh-hang-p279551576.html?spid=279551573,True
279528897,Điện Thoại Oppo Reno16 F 5G 8GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,13679000,15990000,0.14,0,0.0,https://tiki.vn/dien-thoai-oppo-reno16-f-5g-8gb-256gb-hang-chinh-hang-p279528897.html?spid=279528903,True
279509688,Điện thoại Samsung Galaxy A27 5G (6GB/128GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,8509000,8509000,0.0,0,0.0,https://tiki.vn/dien-thoai-samsung-galaxy-a27-5g-6gb-128gb-hang-chinh-hang-p279509688.html?spid=279509690,True
279506734,Điện Thoại Realme C85 6GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,4599000,5690000,0.19,0,0.0,https://tiki.vn/dien-thoai-realme-c85-6gb-128gb-hang-chinh-hang-p279506734.html?spid=279506740,True
279506444,Điện Thoại Realme C85 5G 8GB/256GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,6299000,8490000,0.26,0,0.0,https://tiki.vn/dien-thoai-realme-c85-5g-8gb-256gb-hang-chinh-hang-p279506444.html?spid=279506446,True
279505643,Điện thoại Xiaomi 17T Pro 5G (12GB/512GB) - Hàng chính hãng,Điện thoại (Cũ),Tiki,24990000,24990000,0.0,0,0.0,https://tiki.vn/dien-thoai-xiaomi-17t-pro-5g-12gb-512gb-hang-chinh-hang-p279505643.html?spid=279505647,True
279505636,Máy Tính Bảng Xiaomi Redmi Pad 2 Wifi 4GB/64GB Bản 9.7 Inches - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,4299000,4990000,0.14,0,0.0,https://tiki.vn/may-tinh-bang-xiaomi-redmi-pad-2-wifi-4gb-64gb-ban-9-7-inches-hang-chinh-hang-p279505636.html?spid=279505640,True
279505495,Máy Tính Bảng Xiaomi Redmi Pad 2 Wifi 4GB/128GB - Hàng Chính Hãng,Điện thoại (Cũ),Tiki,5199000,5290000,0.02,0,0.0,https://tiki.vn/may-tinh-bang-xiaomi-redmi-pad-2-wifi-4gb-128gb-hang-chinh-hang-p279505495.html?spid=279505497,True
279504673,"Máy tính bảng Xiaomi Redmi Pad 8 11.2"" Wifi (8GB/128GB) - Hàng chính hãng",Điện thoại (Cũ),Tiki,11990000,11990000,0.0,0,0.0,https://tiki.vn/may-tinh-bang-xiaomi-redmi-pad-8-11-2-wifi-8gb-128gb-hang-chinh-hang-p279504673.html?spid=279504677,True
