ma_san_pham,ten_san_pham,gia,gia_goc,ty_le_giam,luot_ban,danh_gia,nganh_hang,nen_tang,shop,url,da_kiem_tra_gia_ao
278834233,Điện Thoại Xiaomi Redmi Note 14 8GB/256GB - Hàng Chính Hãng,5979000.0,6190000.0,0.03,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-14-8gb-256gb-hang-chinh-hang-p278834233.html?spid=278834239,True
278834052,Điện Thoại Xiaomi Redmi Note 14 8GB/128GB - Hàng Chính Hãng,4999000.0,5490000.0,0.09,1,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-14-8gb-128gb-hang-chinh-hang-p278834052.html?spid=278834054,True
278672823,Điện thoại Samsung Galaxy A17 LTE (8GB/128GB) - Hàng chính hãng,6190000.0,6190000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a17-lte-8gb-128gb-hang-chinh-hang-p278672823.html?spid=278672827,True
278592429,Điện thoại Samsung Galaxy A07 LTE (6GB/128GB) - Hàng chính hãng,4490000.0,4490000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a07-lte-6gb-128gb-hang-chinh-hang-p278592429.html?spid=278592431,True
278591193,Điện thoại Samsung Galaxy A17 5G (8GB/128GB) - Hàng chính hãng,6390000.0,6390000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a17-5g-8gb-128gb-hang-chinh-hang-p278591193.html?spid=278591198,True
278591094,Điện thoại Samsung Galaxy A07 LTE (4GB/128GB) - Hàng chính hãng,4190000.0,4190000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a07-lte-4gb-128gb-hang-chinh-hang-p278591094.html?spid=278591100,True
277944378,Điện Thoại Xiaomi Redmi A5 3GB/64GB - Hàng Chính Hãng,2999000.0,3090000.0,0.03,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-a5-3gb-64gb-hang-chinh-hang-p277944378.html?spid=277944380,True
277811118,Điện Thoại Xiaomi Redmi Note 14 5G 8GB/256GB - Hàng Chính Hãng,6199000.0,7290000.0,0.15,1,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-xiaomi-redmi-note-14-5g-8gb-256gb-hang-chinh-hang-p277811118.html?spid=277811124,True
277737595,Điện Thoại Samsung Galaxy A06 5G 4GB/128GB - Hàng Chính Hãng,3799000.0,4490000.0,0.15,17,4.8,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-a06-5g-4gb-128gb-hang-chinh-hang-p277737595.html?spid=277737599,True
277728993,[MỚI] Điện thoại vivo Y04 (4GB+64GB) - Hàng chính hãng - 1 Đổi 1 trong tháng đầu tiên - Bảo hành 12 tháng,2990000.0,2990000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/moi-dien-thoai-vivo-y04-6gb-128gb-hang-chinh-hang-1-doi-1-trong-thang-dau-tien-bao-hanh-12-thang-p277728993.html?spid=277743625,True
277651890,Điện thoại Samsung Galaxy A06 5G (4GB/128GB) - Hàng chính hãng,4490000.0,4490000.0,0.0,0,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-samsung-galaxy-a06-5g-4gb-128gb-hang-chinh-hang-p277651890.html?spid=277651926,True
276451993,"Máy đọc sách Basic 2024 màn hình 6 inch, độ phân giải 300ppi, dung Lượng 16GB, cổng sạc type C - HÀNG CHÍNH HÃNG",3790000.0,3790000.0,0.0,6,0.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/may-doc-sach-basic-2024-man-hinh-6-inch-do-phan-giai-300ppi-dung-luong-16gb-cong-sac-type-c-p276451993.html?spid=276452015,True
275386649,Điện Thoại Nokia 3210 4G - Hàng Chính Hãng,1549000.0,1790000.0,0.13,5,5.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/dien-thoai-nokia-3210-4g-hang-chinh-hang-p275386649.html?spid=275386651,True
271530789,Combo Máy đọc sách All New Kindle Paperwhite 6 - Hàng chính hãng,4790000.0,4790000.0,0.0,17,4.7,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/combo-may-doc-sach-all-new-kindle-paperwhite-5-11th-kids-edittion-khong-quang-cao-va-bao-da-hang-chinh-hang-p271530789.html?spid=276464092,True
271362153,"Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da FOR KIDS (Bản KIDS, Không Quảng Cáo) - Hàng chính hãng",3990000.0,3990000.0,0.0,16,5.0,Điện thoại - Máy tính bảng,Tiki,Tiki,https://tiki.vn/combo-may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-va-bao-da-for-kids-ban-kids-khong-quang-cao-hang-nhap-khau-p271362153.html?spid=271362159,True
