ma_san_pham,ten_san_pham,gia,danh_gia,luot_ban,url,nen_tang,nganh_hang,da_kiem_tra_gia_ao
271916321,"	 Sách Mùa hè không tên (Nguyễn Nhật Ánh) - Tặng kèm Bookmark, Tranh màu",103500.0,5.0,5566,https://tiki.vn/sach-mua-he-khong-ten-nguyen-nhat-anh-tang-kem-bookmark-tranh-mau-cho-ca-2-phien-ban-tang-them-ngau-nhien-1-trong-2-lot-ly-cho-ban-bia-cung-p271916321.html?spid=271916323,Tiki,Sách ngoại văn,False
251255482,Doraemon - Chú Mèo Máy Đến Từ Tương Lai Tập 26 (Tái Bản),23750.0,5.0,31,https://tiki.vn/doraemon-chu-meo-may-den-tu-tuong-lai-tap-26-tai-ban-2023-p251255482.html?spid=251255484,Tiki,Truyện tranh/Manga,False
220665663,Sách 30 Tuổi - Mọi Thứ Chỉ Mới Bắt Đầu,103950.0,4.8,2759,https://tiki.vn/sach-30-tuoi-moi-thu-chi-moi-bat-dau-p220665663.html?spid=220665664,Tiki,Tô màu - Luyện chữ,False
205942263,Sách Tận Hưởng Hành Trình Nuôi Con Sữa Mẹ,116250.0,4.8,2610,https://tiki.vn/sach-tan-huong-hanh-trinh-nuoi-con-sua-me-p205942263.html?spid=205942266,Tiki,Sách ngoại văn,False
202450677,Chú Thuật Hồi Chiến Tập 8,28000.0,5.0,2629,https://tiki.vn/chu-thuat-hoi-chien-tap-8-p202450677.html?spid=202450681,Tiki,Truyện tranh/Manga,False
186290796,Sách Còn chút gì để nhớ (Tái Bản 2022),38950.0,5.0,1207,https://tiki.vn/sach-con-chut-gi-de-nho-tai-ban-2022-p186290796.html?spid=186290799,Tiki,Sách ngoại văn,False
186286190,Sách Mắt Biếc (Tái Bản 2022),40850.0,5.0,690,https://tiki.vn/sach-mat-biec-tai-ban-2022-p186286190.html?spid=186286191,Tiki,Sách ngoại văn,False
168662171,Sách Vừa Nhắm Mắt Vừa Mở Cửa Số,63000.0,5.0,2975,https://tiki.vn/sach-vua-nham-mat-vua-mo-cua-so-p168662171.html?spid=168662172,Tiki,Máy massage,False
82996522,Sách Tư Bản Thế Kỷ 21,231000.0,4.8,1415,https://tiki.vn/sach-tu-ban-the-ky-21-p82996522.html?spid=82996523,Tiki,Sách ngoại văn,False
50322710,Sách 48 Nguyên Tắc Chủ Chốt Của Quyền Lực (Tái Bản 2020),167000.0,5.0,9463,https://tiki.vn/sach-48-nguyen-tac-chu-chot-cua-quyen-luc-tai-ban-2020-p50322710.html?spid=51830751,Tiki,Tô màu - Luyện chữ,False
